newindex,BaseDateTime,COG,CallSign,Cargo,Draft,Heading,IMO,LAT,LON,Length,MMSI,SOG,Status,VesselName,VesselType,Width,coordinate,datetime,envelope
43,2017-02-17T14:37:48,2.8,,,,511.0,,26.36602,-80.04632,9.14,338097653.0,0.3,,FUN TICKET,,,POINT (-80.04631999999999 26.36602),2017-02-17 14:37:48,"POLYGON ((-80.06631999999999 26.34602, -80.02632 26.34602, -80.02632 26.38602, -80.06631999999999 26.38602, -80.06631999999999 26.34602))"
44,2017-02-17T14:38:46,-161.7,,,,15.0,,26.34321,-80.06081999999998,,366955450.0,0.0,undefined,,,,POINT (-80.06081999999998 26.34321),2017-02-17 14:38:46,"POLYGON ((-80.08081999999997 26.32321, -80.04081999999998 26.32321, -80.04081999999998 26.36321, -80.08081999999997 26.36321, -80.08081999999997 26.32321))"
45,2017-02-17T14:38:34,181.0,ZGFS7,,,511.0,,26.4266,-80.03251,,319112800.0,6.3,,SUNNY,,,POINT (-80.03251 26.4266),2017-02-17 14:38:34,"POLYGON ((-80.05251 26.4066, -80.01251000000001 26.4066, -80.01251000000001 26.4466, -80.05251 26.4466, -80.05251 26.4066))"
46,2017-02-17T14:37:38,-121.4,WDD7669,31.0,,511.0,,26.34358,-80.06081999999998,22.01,367189580.0,0.0,under way using engine,SEA OAK,1025.0,8.5,POINT (-80.06081999999998 26.34358),2017-02-17 14:37:38,"POLYGON ((-80.08081999999997 26.32358, -80.04081999999998 26.32358, -80.04081999999998 26.36358, -80.08081999999997 26.36358, -80.08081999999997 26.32358))"
47,2017-02-17T14:38:48,-192.0,WDD7669,31.0,,511.0,,26.34359000000001,-80.06081,22.01,367189580.0,0.1,under way using engine,SEA OAK,1025.0,8.5,POINT (-80.06081 26.34359000000001),2017-02-17 14:38:48,"POLYGON ((-80.08081 26.32359000000001, -80.04081000000001 26.32359000000001, -80.04081000000001 26.36359000000001, -80.08081 26.36359000000001, -80.08081 26.32359000000001))"
48,2017-02-17T14:37:36,131.7,,,,17.0,,26.34322,-80.06081,,366955450.0,0.0,undefined,,,,POINT (-80.06081 26.34322),2017-02-17 14:37:36,"POLYGON ((-80.08081 26.32322, -80.04081000000001 26.32322, -80.04081000000001 26.36322, -80.08081 26.36322, -80.08081 26.32322))"
49,2017-02-26T19:50:19,-49.6,5VDM4,,4.0,30.0,IMO7612474,25.77645,-80.08754,95.0,671623000.0,0.1,at anchor,PORHOV,1004.0,13.21,POINT (-80.08754 25.77645),2017-02-26 19:50:19,"POLYGON ((-80.10754 25.75645, -80.06754000000001 25.75645, -80.06754000000001 25.79645, -80.10754 25.79645, -80.10754 25.75645))"
50,2017-03-05T15:11:41,47.1,NUHC,,,511.0,,26.56093,-79.94844,64.31,367298000.0,2.4,under way using engine,CG DECISIVE,1018.0,10.36,POINT (-79.94844000000001 26.56093),2017-03-05 15:11:41,"POLYGON ((-79.96844 26.54093, -79.92844000000001 26.54093, -79.92844000000001 26.58093, -79.96844 26.58093, -79.96844 26.54093))"
51,2017-03-05T15:12:03,-134.6,CQGH,,12.5,88.0,IMO9400203,25.78583,-80.09,268.8,255805657.0,0.1,at anchor,VENETIA,1004.0,32.2,POINT (-80.09 25.78583),2017-03-05 15:12:03,"POLYGON ((-80.11 25.76583, -80.07000000000001 25.76583, -80.07000000000001 25.80583, -80.11 25.80583, -80.11 25.76583))"
52,2017-03-05T15:12:51,46.7,NUHC,,,511.0,,26.56143,-79.94775,64.31,367298000.0,2.7,under way using engine,CG DECISIVE,1018.0,10.36,POINT (-79.94775 26.56143),2017-03-05 15:12:51,"POLYGON ((-79.96775 26.54143, -79.92775 26.54143, -79.92775 26.58143, -79.96775 26.58143, -79.96775 26.54143))"
53,2017-03-11T15:12:16,52.2,,,,511.0,,25.89697,-79.95778,,338229044.0,17.6,,GOLDEN DAZE,1019.0,,POINT (-79.95778 25.89697),2017-03-11 15:12:16,"POLYGON ((-79.97778 25.87697, -79.93778 25.87697, -79.93778 25.91697, -79.97778 25.91697, -79.97778 25.87697))"
54,2017-03-11T15:12:16,172.0,C6CY6,,,511.0,,25.85906,-80.08270999999998,29.84,311000609.0,15.8,,EXIT STRATEGY,1013.0,6.1,POINT (-80.08270999999998 25.85906),2017-03-11 15:12:16,"POLYGON ((-80.10270999999997 25.83906, -80.06270999999998 25.83906, -80.06270999999998 25.87906, -80.10270999999997 25.87906, -80.10270999999997 25.83906))"
55,2017-03-11T15:13:44,169.3,C6CY6,,,511.0,,25.8528,-80.08152,29.84,311000609.0,15.6,,EXIT STRATEGY,1013.0,6.1,POINT (-80.08152 25.8528),2017-03-11 15:13:44,"POLYGON ((-80.10151999999999 25.8328, -80.06152 25.8328, -80.06152 25.8728, -80.10151999999999 25.8728, -80.10151999999999 25.8328))"
56,2017-03-11T15:12:03,3.9,,,,511.0,,25.93656,-80.08773000000002,14.36,338103759.0,7.1,,JOURNEY,1019.0,4.5,POINT (-80.08773000000002 25.93656),2017-03-11 15:12:03,"POLYGON ((-80.10773000000002 25.91656, -80.06773000000003 25.91656, -80.06773000000003 25.95656, -80.10773000000002 25.95656, -80.10773000000002 25.91656))"
57,2017-03-11T15:13:12,90.9,WDA8564,52.0,4.3,511.0,IMO9276470,25.75636,-80.11148,28.04,366855710.0,2.4,under way using engine,GRAMMA LEE T MORAN,1025.0,9.75,POINT (-80.11148 25.75636),2017-03-11 15:13:12,"POLYGON ((-80.13148 25.73636, -80.09148 25.73636, -80.09148 25.77636, -80.13148 25.77636, -80.13148 25.73636))"
58,2017-03-11T15:13:46,50.3,,,,511.0,,25.90116,-79.95098,,338229044.0,18.6,,GOLDEN DAZE,1019.0,,POINT (-79.95098 25.90116),2017-03-11 15:13:46,"POLYGON ((-79.97098 25.88116, -79.93098000000001 25.88116, -79.93098000000001 25.92116, -79.97098 25.92116, -79.97098 25.88116))"
59,2017-03-11T15:12:02,166.1,WDH5386,,3.3,357.0,IMO9764116,25.7565,-80.1155,28.18,367627450.0,3.1,under way using engine,GEORGE T MORAN,1025.0,11.51,POINT (-80.1155 25.7565),2017-03-11 15:12:02,"POLYGON ((-80.13549999999999 25.7365, -80.0955 25.7365, -80.0955 25.7765, -80.13549999999999 25.7765, -80.13549999999999 25.7365))"
60,2017-03-11T15:13:05,119.6,WDH5386,,3.3,298.0,IMO9764116,25.75583,-80.11516999999998,28.18,367627450.0,1.0,under way using engine,GEORGE T MORAN,1025.0,11.51,POINT (-80.11516999999998 25.75583),2017-03-11 15:13:05,"POLYGON ((-80.13516999999997 25.73583, -80.09516999999998 25.73583, -80.09516999999998 25.77583, -80.13516999999997 25.77583, -80.13516999999997 25.73583))"
61,2017-03-11T15:13:26,177.2,WDI6413,,,511.0,,25.71176,-80.08097,19.51,367718450.0,8.0,,ALEXANDRA MICHELLE,1012.0,5.8,POINT (-80.08096999999999 25.71176),2017-03-11 15:13:26,"POLYGON ((-80.10096999999999 25.69176, -80.06097 25.69176, -80.06097 25.73176, -80.10096999999999 25.73176, -80.10096999999999 25.69176))"
62,2017-03-11T15:13:32,11.0,,,,511.0,,25.93944,-80.08736,14.36,338103759.0,6.9,,JOURNEY,1019.0,4.5,POINT (-80.08736 25.93944),2017-03-11 15:13:32,"POLYGON ((-80.10736 25.91944, -80.06736000000001 25.91944, -80.06736000000001 25.95944, -80.10736 25.95944, -80.10736 25.91944))"
63,2017-03-11T15:12:04,115.3,WDA8564,52.0,4.3,511.0,IMO9276470,25.756999999999998,-80.11213000000002,28.04,366855710.0,2.4,under way using engine,GRAMMA LEE T MORAN,1025.0,9.75,POINT (-80.11213000000002 25.757),2017-03-11 15:12:04,"POLYGON ((-80.13213000000002 25.737, -80.09213000000003 25.737, -80.09213000000003 25.777, -80.13213000000002 25.777, -80.13213000000002 25.737))"
